Name;Citations;Industry Income;International Outlook;Research;Teaching
1 UC.CL;89.7;98.9;92.3;99.8;75.1
2 USP.BR;74.9;56;59.9;100;91.7
3 UNICAMP.BR;71;71.8;57.1;99.9;92.6
4 PUC-RIO.BR;67.5;100;76.7;98.6;84.1
5 ITESM.MX;75.6;99.9;87.4;96.2;77.9
6 UNIFESP.BR;83;41;42.3;88.1;95.9
7 UCHILE.CL;82.4;36.9;80.6;92.2;77.4
8 UFMG.BR;80.3;52;52.5;88.6;89.6
9 UNIANDES.CO;86;46.9;81.6;87.3;75.9
10 UNESP.BR;41.9;45.3;41.7;98.5;93.4
11 UFRGS.BR;78.6;76.6;33.1;92.1;83.3
12 UFSC.BR;73.7;51.9;46.6;83.8;88.7
13 UFRJ.BR;58.2;40.4;44.9;86.9;93.9
14 UNAM.MX;50.3;97.9;78.9;91.7;76.3
15 UNB.BR;61;36.9;51;84;85.8
16 UFSCar.BR;42.7;60.5;34.8;86.5;85.8
17 UFV.BR;33.2;79.4;29.7;85.2;81.4
18 UAM.MX;81;43.6;39;84.1;63.5
19 UFC.BR;53.1;51.5;30.9;80.9;74.6
20 PUCP.PE;91.6;41.7;65.6;69.6;68.5
20 PUCRS.BR;76.8;84.2;27.3;73;66.4
22 UNAL.CO;39.4;39.9;49.4;85.8;72.3
23 PUCV.CL;50.3;84.8;66.4;79.2;66
24 USACH.CL;44.6;49.5;62.6;86.5;65.9
25 UPCH.PE;99.7;37.4;46.2;70.9;55.6
26 PUCPR.BR;31.7;39;26.4;80.4;84.8
27 AUSTRAL.AR;96.4;39.1;68.2;66.3;59.9
28 PUJ.CO;99.8;37.9;57.7;66.1;58
29 UFPE.BR;38.7;41.9;23.4;73.4;90
30 UERJ.BR;36.1;49.7;24.9;80.1;83.6
31 FUBA.BR;52.6;36.5;30.8;81.9;78.6
32 UWI.JM;99.2;36.8;73.9;67.9;51.5
33 UFRN.BR;34.3;39.2;31;80.1;76.6
34 UFLA.BR;25.8;92.4;24.9;85.9;65.8
35 UCO.AR;59.7;38.8;44.8;70.4;72.3
36 UDEA.CO;39.2;58.4;40.3;78.6;62.3
37 UCR.CR;97.9;36.5;61.7;51.4;48.4
38 UNSAM.AR;61;38.5;71.3;67.2;59.2
39 UEL.BR;40.2;36.5;21.3;78.7;68.9
40 UFG.BR;39.2;55;25.5;64.2;71.3
41 UFABC.BR;62.5;41.3;52.8;68.4;51.3
42 UFRO.CL;81.6;36.7;62.9;59.1;40.8
43 UV.CL;57.8;36.8;73.1;56.6;56.5
44 PUCPR.BR;40.6;41.9;31.4;66.1;65.5
45 UDEC.CL;60.5;94.4;67.9;58.2;44.9
46 UFSM.BR;34.2;38.5;18.9;66;66.5
47 UANDES.CL;63.2;37.2;74;51.2;45.3
48 UH.CU;11;57.1;72;58.3;77.6
49 UPR.PR;92.5;38.4;42.6;40.1;49.8
50 IPN.MX;31.4;57.6;21.7;70.3;67.3
